ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,RATE
1103,36796918,12425270,16899137,25176198.0,24641223,4590.02,11620720,62185.0,270.78,61415.0,459520.0,42.0,21.0,5.57,53.66,-7.77,-0.000165,-7.2,12.28,45.93,4.83,68.42,20.36,VHIGH,YES,0.0833,9.2,12.47,0.7586,VTKGN,0.87,1.21,1.84,1.13,4.57,52.0,1.01,1.7336,0.1271,B
388,30656032,12636480,21895913,28245159.0,4851004,-142.71,2410873,213153.0,67.38,-3502448.0,-3460705.0,-152.0,8.0,-10.58,54.94,-3.38,-6.8e-05,-1.78,14.51,71.42,?,92.14,33.12,HIGH,NO,-0.5549,-11.0,-0.47,0.059,VTKGN,22.11,-11.16,-12.06,-31.61,-31.24,12.92,-71.34,1.3221,-0.161,D
546,11832028,249285,2068749,9860459.0,9885720,4399.93,1971570,28430.0,81.7,1497001.0,1023258.0,432.0,6.0,13.53,71.65,-0.35,-1.73e-05,-0.39,2.12,17.48,19.81492027,83.34,20.59048356,MED,YES,0.0105,10.85,37.19,43.134,VTKGN,-37.62,8.65,10.38,108.24,95.29,31.43,13.33,33.6023,0.0953,B
385,63574651,18209393,21713325,31789769.0,95976898,14779.57,31784881,246828.0,454.87,5207676.0,3996381.0,238.0,21.0,9.94,37.8,-0.39,-1.19e-05,-0.41,0.49,34.15,4.67,50.0,5.09,MED,NO,-0.1978,1.15,23.25,1.051,VTKGN,-12.63,6.9,13.34,57.23,56.65,11.73,5.37,1.9045,-0.0981,B
199,60721531,9804025,14211257,37922370.0,57651056,25707.31,22799161,185042.0,192.81,14571539.0,7840254.0,7128.0,56.0,27.79,53.4,-0.34,-8.61e-06,-0.43,2.04,23.4,11.49,62.45,29.29,VHIGH,YES,0.8276,13.6,42.34,0.6563,VTKGN,-63.68,14.19,22.69,264.94,230.76,60.77,22.01,2.9225,0.104,B
772,124381552,19045038,25678338,76195090.0,116727157,46549.68,48186462,843374.0,505.31,35580189.0,26722586.0,3174.0,20.0,34.97,62.38,-2.54,-6.16e-05,-3.59,2.69,20.64,6.5,61.26,2.17,MED,YES,-0.0087,29.52,37.42,3.8961,VTKGN,-11.76,23.91,39.86,787.5042169,791.9132971,59.84,32.44,3.6245,0.2602,B
381,17270910,616412,5859023,14564683.0,10580230,2713.85,2706227,396309.0,141.07,740088.0,953932.0,294.0,8.0,6.66,79.53,-3.87,-0.000151,-4.08,7.43,33.92,19.81492027,84.33,3.68,MED,YES,-33.1117,9.42,15.71,0.126,VTKGN,-1.73,5.52,6.55,44.85,67.62,35.38,10.55,2.5213,0.1101,B
601,80397170,15306746,26806031,?,124097701,9687.56,62507965,51228.0,1253.51,6434382.0,3134414.0,227.0,7.0,8.65,15.04,1.59,3.15e-05,1.62,0.91,33.34,70.93,22.25,39.76,HIGH,NO,0.0175,-16.18,12.05,2.6584,VTKGN,2.97,3.9,17.52,92.85,56.08,7.49,3.13,1.3546,-0.3582,D
1219,109488940,28644827,37497700,48532360.0,128942559,34447.85,60956579,3012007.0,172.61,14664081.0,5617201.0,420.0,10.0,15.3,37.95,1.06,2.25e-05,1.12,2.94,34.25,37.33,44.33,29.86,VHIGH,NO,0.8702,2.15,31.46,1.0775,VTKGN,7.13,5.71,12.23,210.14,120.28,37.71,6.51,1.4948,0.0258,B
1286,98011263,38972860,47246917,78738779.0,129555127,24543.72,19272484,206382.0,481.62,11406235.0,9825446.0,700.0,25.0,13.5,73.04,-0.81,-5.46e-05,-0.89,3.03,48.21,0.28,80.34,12.47,VLOW,YES,0.169,7.11,25.04,0.4143,VTKGN,-11.62,10.56,13.28,159.41,185.69,12.99,10.26,1.7293,0.098,B
667,11314779,4402712,7645617,4541669.0,21936205,2314.41,6773109,113316.0,487.47,-161053.0,-190639.0,-43.0,10.0,-0.86,31.17,0.23,7.4e-06,0.22,0.56,67.57,41.62,40.14,24.27,MED,NO,0.2805,-0.16,20.45,2.1418,VTKGN,-3.54,-1.68,-4.2,-6.71,-9.49,18.97,-1.04,1.2664,-0.0447,C
625,262726142,112735943,223142484,111559755.0,193153908,34424.0,151166386,586021.0,668.35,3929523.0,3022828.0,116.0,28.0,2.21,32.8,4.81,6.15e-05,4.4,3.45,84.93,?,42.46,22.66,HIGH,YES,-0.1255,8.72,13.1,1.3485,VTKGN,1.51,1.05,2.39,14.92,18.06,6.29,2.46,0.6591,0.0387,C
109,536330878,136175896,161861335,436627593.0,514341317,132170.1,99703284,828043.0,547.17,61930894.0,62912576.0,6399.0,43.0,14.36,73.23,-2.37,-0.000122,-2.65,1.7,30.18,16.10244444,81.41,17.22,MED,YES,-2.657,7.14,24.64,0.3695,VTKGN,-6.25,12.2,14.88,122.88,174.92,19.59,17.14,2.8126,0.0525,A
442,64767889,36267494,43329872,17468840.0,82431020,18301.06,47299049,297047.0,249.79,1319640.0,87039.0,52.0,13.0,3.15,14.12,1.9,3.31e-05,1.82,7.87,66.9,58.04,26.97,15.38,VHIGH,YES,-0.0225,10.74,28.26,0.9689,VTKGN,1.12,0.14,0.5,14.16,2.0,7.29,0.23,0.6115,0.2483,C
1019,214381592,75786095,96897597,80152333.0,430949869,73578.67,134229259,2858649.0,191.11,298703.0,2297373.0,43.0,13.0,1.13,24.94,0.9,2.88e-05,0.88,2.37,45.2,45.94,37.39,27.75,MED,NO,-0.089,4.88,34.32,2.1704,VTKGN,1.87,1.08,2.9,1.12,12.57,14.67,0.78,1.4249,-0.0609,B
364,17809557,4288816,6610435,12913994.0,28476260,3696.9,4895563,159347.0,425.02,1201201.0,1004715.0,127.0,15.0,7.15,56.8,-0.08,-4.47e-06,-0.08,2.26,37.12,6.18,72.51,15.81,MED,YES,-23.572,6.1,20.76,0.0276,VTKGN,-62.08,5.38,7.46,27.59,31.69,17.42,4.85,1.9718,0.0731,B
744,22450177,3634287,4670218,19428365.0,19182099,1100.31,3021812,86990.0,299.72,711313.0,-221743.0,-40.0,15.0,5.08,75.2,-1.0,-6.34e-05,-0.94,2.1,20.8,8.13,86.54,17.62,HIGH,YES,5.4111,1.75,4.9,0.2155,VTKGN,3.21,-1.11,-1.32,21.73,-12.91,12.0,-2.2,4.34,-0.0608,B
559,27254365,1597332,19696643,?,26246918,9253.95,5501170,453356.0,58.33,-4685080.0,-10762332.0,-262.0,9.0,-14.57,3.78,0.9,4.3e-05,0.65,18.41751676,72.27,5.08,79.82,6.01,MED,YES,0.3975,24.94,33.95,0.1714,VTKGN,-38.25,-35.19,-51.8,-29.62,-58.66,12.49,-35.35,1.2849,0.3375,C
311,165989633,51773790,82996330,?,102243063,48797.2,37773539,212336.0,305.2,3694483.0,12221502.0,984.0,36.0,3.51,73.9,-0.71,-1.93e-05,-0.68,9.39,50.0,12.39,77.24,18.97,HIGH,YES,1.6196,6.53,29.4,2.1284,VTKGN,-25.07,7.52,10.04,58.64,18.87,21.7,1.16,1.7115,0.0517,B
602,153349066,20486037,52925844,?,201823720,46119.06,57528819,482988.0,349.18,19415323.0,17012777.0,7576.0,25.0,14.51,55.71,-0.68,-2.37e-05,-0.74,1.84,34.51,?,62.49,16.42,MED,YES,1.9513,9.57,30.07,0.6174,VTKGN,-16.74,11.88,19.24,168.54,210.02,23.99,11.99,1.9449,0.176,A
982,52288660,9088821,20260103,47564353.0,31965772,6388.58,4724307,87841.0,420.6,3069201.0,3536487.0,341.0,31.0,8.31,88.87,-3.73,-0.000252,-4.03,1.79,38.75,?,90.96,14.59,MED,YES,-3.6631,4.67,12.22,0.1288,VTKGN,-2.75,6.87,7.57,51.15,74.46,18.17,13.98,2.3858,0.0111,B
849,38426712,11681864,12617099,15949310.0,42772125,6226.79,22477402,128254.0,712.87,3329718.0,2147180.0,4898.0,26.0,10.32,36.25,0.98,1.86e-05,1.04,0.96,32.83,43.16,41.51,47.01,HIGH,NO,-0.0164,-1.17,16.2,2.6661,VTKGN,7.62,6.4,14.28,151.35,125.78,15.14,6.47,1.729,-0.1037,C
1070,9825990,172493,1171582,?,14082224,2519.86,4541170,36835.0,670.58,1302181.0,1084993.0,394.0,6.0,14.24,44.17,-0.59,-1.83e-05,-0.65,1.05,11.92,2.58,53.78,20.59048356,HIGH,YES,8.1057,6.01,25.64,0.164,VTKGN,-15.91,11.04,20.53,83.37,90.07,16.82,9.99,4.7296,0.07,B
836,9024303,679762,3165687,2911467.0,6639386,1649.86,6112836,32719.0,73.77,-567848.0,-756266.0,-661.0,1.0,-6.27,0.59,2.97,3.23e-05,2.66,0.45,35.08,43.22,32.26,64.21,MED,NO,0.0261,-0.48,18.28,0.9029,VTKGN,-2.83,-8.38,-25.98,-19.81,-26.38,39.86,-11.39,1.7372,-0.0078,D
1063,59203134,764801,16793503,?,34905527,-699.83,8706476,132351.0,232.7,-4265786.0,-5337751.0,-403.0,9.0,-6.16,82.74,-0.95,-3.8e-05,-0.75,6.65,28.37,?,85.29,18.0,VHIGH,YES,-25.4639,1.65,-1.18,0.1219,VTKGN,21.45,-8.73,-9.99,-60.43,-95.76,23.66,-19.37,3.0582,-0.1087,B
681,110303906,40433867,53562918,?,198773656,36306.2,67949187,70663.0,319.57,1272625.0,2677125.0,297.0,19.0,2.43,33.18,-0.14,-4.2e-06,-0.14,2.61,48.56,?,38.4,12.11,LOW,NO,-0.5291,0.6,32.91,1.8012,VTKGN,-12.15,2.62,6.4,13.4,39.56,4.49,1.89,1.1102,-0.0467,C
827,27392845,12850228,15469964,11733341.0,41093153,7880.31,15659504,30103.0,270.35,1923367.0,1469560.0,203.0,17.0,7.88,24.58,0.51,1.34e-05,0.53,4.05,56.47,25.79,42.83,24.34,MED,YES,1.1241,18.89,28.77,0.789,VTKGN,8.77,5.36,12.52,38.47,32.74,8.86,3.98,1.0135,0.2821,C
758,89991288,6257635,12270732,?,41547605,23033.11,13312036,192094.0,222.18,8718316.0,7655983.0,2626.0,6.0,13.79,84.26,-6.04,-0.000189,-7.18,15.72,13.64,?,85.21,20.59048356,MED,YES,-8.0759,12.68,25.59,1.8157,VTKGN,-2.7,9.4,10.81,568.63,605.55,41.1,22.35,6.4758,0.1298,B
172,146399389,36212752,54548796,?,104915271,31470.63,44763666,693886.0,184.06,7775332.0,3445655.0,66.0,40.0,5.84,33.62,1.03,2.4e-05,1.05,3.02,37.26,14.98,69.42,14.78,VHIGH,YES,0.2503,8.19,21.5,0.1332,VTKGN,4.46,2.32,3.43,14.83,7.09,43.96,3.54,1.9912,0.0758,C
783,17724168,3655930,5631532,8719394.0,6919690,-11441.74,9004774,187692.0,192.21,-12403547.0,-16639440.0,-1466.0,14.0,-30.79658731,16.81,9.77,7.51e-05,2.6,8.59,31.77,?,49.19,19.2,LOW,NO,-0.5503,-32.31392371,-64.55,1.0216,VTKGN,-23.6,-42.6,-101.3,-221.26,-296.82,-4.63,-192.8980176,2.6049,-0.8135,D
687,349291773,143198120,173117086,121737389.0,437858748,53236.96,227554384,1328305.0,201.41,-4442840.0,-89884512.0,-2990.0,14.0,-0.53,-8.15,1.79,3.45e-05,1.47,5.01,49.56,25.81,34.85,5.17,LOW,YES,-0.0695,12.3,15.24,0.5241,VTKGN,-10.46,-23.1,-53.92,-2.94,-59.53,3.22,-20.53,1.1604,0.1411,B
1148,139783448,87597133,115410663,9474701.0,172787608,-20745.75,130308747,2916096.0,167.75,470333.0,-49378807.0,-6976.0,29.0,1.64,-18.08,4.28,5.68e-05,3.26,1.29,82.56,65.14,6.78,23.5,VLOW,NO,-0.0008,6.44,-14.84,2.8561,XNHTQ,-5.67,-29.59,-144.61,1.33,-85.89,19.57,-17.52,0.9588,0.0718,C
801,191549342,3460068,78558715,?,161480457,-799.29,105756934,246297.0,887.26,10124452.0,-53061226.0,-2237.0,44.0,4.85,36.8,1.79,2.73e-05,1.3,14.33,41.01,11.77,44.79,10.89,MED,NO,-0.4131,-0.01,-0.42,1.1814,VTKGN,-17.39,-22.55,-62.42,23.85,23.8,11.98,6.26,1.3223,0.0704,D
843,129722106,47954528,80833186,110204368.0,52155141,30787.08,19517739,158270.0,90.23,-6079996.0,-6004774.0,-143.0,10.0,-4.24,-75.06799026,-0.93,-2.47e-05,-0.81,7.19,62.31,30.22242718,84.95,0.49,MED,YES,-0.5233,4.9,23.73,0.0527,VTKGN,13.44,-4.55,-5.3,-2.9,-2.86,11.32,-11.51,1.5003,0.009,C
205,241723195,158925452,173695941,127529507.0,170893834,56580.14,114193688,378303.0,469.49,8503841.0,2059576.0,1364.0,38.0,4.02,50.46,3.98,5.96e-05,3.92,17.81,71.86,38.33,52.76,42.8,HIGH,YES,-0.0269,13.01,23.41,3.4139,VTKGN,1.23,0.82,1.62,106.3,19.69,11.04,0.92,0.8914,0.1819,B
16,2877544808,1303931099,2433742662,867094268.0,1058088296,541145.7,2010450540,169478452.0,736.83,96143802.0,23828869.0,748.0,21.0,4.26,23.7,6.96,3.66e-05,6.82,15.7,84.58,42.92,30.13,0.57,HIGH,NO,0.0454,4.31,18.81,4.2174,VTKGN,1.11,0.93,3.11,63.06,5.46,22.10545161,0.79,0.6772,0.14,B
282,7883254,4183124,5171309,19185.0,6523774,-7399.72,7864069,3879.0,106.95,-4191376.0,-11339936.0,-1930.0,43.0,-30.79658731,-43.53,6.21,5.15e-05,2.19,2.19,65.6,50.98,0.24,64.45,MED,NO,-2.4533,-32.31392371,-93.87,0.7892,ASKVR,-26.99,-59.8833453,-390.8357134,-169.32,-458.1,-31.59095783,-173.82,0.5303,-1.3005,D
133,162335794,13275270,51056737,72788363.0,192537848,18213.33,89547431,1854995.0,767.08,7026130.0,2465633.0,93.0,20.0,4.76,36.68,1.69,3.63e-05,1.65,2.76,31.45,32.99,44.84,24.19,MED,NO,0.2868,5.31,11.22,1.9358,VTKGN,1.43,1.51,3.46,53.04,10.46,13.13,0.72,1.9279,0.1221,C
1126,4588748911,2510518473,3343961745,1804698725.0,3984712162,832377.39,2784050187,11847920.0,628.11,266538585.0,50780656.0,1779.0,37.0,6.33,36.75,3.23,3.99e-05,3.18,7.15,72.87,41.79,39.33,37.65,LOW,YES,-0.0054,7.13,18.14,8.0171,VTKGN,1.62,1.09,2.8,180.05,53.49,16.63,1.99,0.9051,0.0932,B
725,49718252,11274322,15510257,36122981.0,38636831,2233.26,13595272,463174.0,643.95,-291029.0,49605.0,4.0,13.0,1.05,59.4,-1.39,-3.94e-05,-1.34,1.8,31.2,9.32,72.66,39.3,MED,NO,-3.874,-11.27,4.49,0.2507,VTKGN,0.97,0.1,0.14,-4.42,0.23,12.99,0.04,2.4355,-0.2092,B
1041,380043951,217224889,244851375,49928282.0,454373082,71666.1,330115669,775779.0,829.15,37666253.0,15283585.0,1965.0,37.0,9.53,2.88,5.01,6.9e-05,4.58,1.97,64.43,46.4,13.14,29.25,HIGH,NO,0.016,5.23,18.86,4.8854,KUHMP,1.08,3.71,36.86,95.47,38.49,11.31,3.34,0.9911,0.0521,D
627,65084683,6116183,17864675,36712017.0,69161329,1739.9,28372666,391967.0,307.38,-2320117.0,-6623649.0,-1878.0,27.0,-2.09,32.21,0.64,1.57e-05,0.5,1.84,27.45,25.06,56.41,25.4,HIGH,NO,0.4095,1.3,2.67,0.3093,VTKGN,-13.86,-9.34,-16.68,-13.04,-37.22,3.42,-9.58,2.3676,-0.1134,C
1241,84496740,7015042,48477449,79368607.0,12010890,-10968.98,5128133,292681.0,106.29,-8189457.0,-10482859.0,-1345.0,13.0,-7.06,94.06,-14.23,-0.000333,-5.91,4.06,57.37,19.81492027,93.93,1.34,MED,YES,1.8361,2.45,-12.98,0.718,VTKGN,9.75,-11.43,-12.34,-204.89,-374.4,35.19,-124.59,1.6964,-0.0086,B
650,208036666,86921415,115301445,116381449.0,182705462,48711.01,91655217,573942.0,193.75,11687881.0,6774427.0,489.0,33.0,6.59,51.61,1.72,3.42e-05,1.74,3.68,55.42,28.41,55.94,34.63,MED,YES,-0.0222,5.97,23.41,1.9346,VTKGN,4.01,3.25,5.88,73.05,58.9,15.32,5.16,1.2778,0.0877,B
856,26031831,4281139,6100968,?,21058874,8077.06,7870257,73340.0,438.73,5518021.0,5030018.0,1190.0,8.0,22.05,58.78,-0.84,-2.26e-05,-1.13,2.98,23.44,2.78,69.77,9.85,MED,YES,12.8117,18.79,31.03,0.2173,VTKGN,-31.42,19.32,27.7,192.94,201.19,38.7,27.32,3.0787,0.1539,C
618,243846712,133801073,145819797,14852939.0,392116032,44060.67,228993773,2281731.0,380.33,27419421.0,-21471222.0,-350.0,37.0,9.74,-75.06799026,5.13,8.78e-05,4.65,1.83,59.8,70.84,6.09,39.74,MED,YES,-0.0002,11.82,18.07,0.3712,XNHTQ,-0.07,-7.52,-73.83,8.87,-4.32,19.47,-3.41,0.9129,0.1429,D
523,13124301,413104,2288962,?,13456218,554.23,3518179,59037.0,217.04,-1092099.0,-686574.0,-127.0,7.0,-5.17,52.62,-2.38,-9.09e-05,-2.17,2.22,17.44,?,73.19,1.05,MED,NO,-0.0669,-2.5,4.22,0.1579,VTKGN,3.91,-4.6,-6.9,-40.45,-34.51,2.29,-6.92,4.383,0.0318,B
998,48256797,11683086,21229046,20255454.0,41579058,6497.66,28001344,236160.0,256.66,1331983.0,551285.0,35.0,20.0,3.86,27.65,1.23,1.82e-05,1.2,3.94,43.99,47.44,41.97,25.86,MED,NO,0.0103,1.96,13.46,1.4154,VTKGN,2.07,1.18,2.61,16.42,6.72,21.19,1.31,1.4948,0.0799,C
1116,107286764,31322887,35407565,?,81943584,35105.66,29367312,157470.0,388.36,26243726.0,20961277.0,2795.0,21.0,26.47,70.34,-2.63,-7.33e-05,-3.64,2.01,33.0,19.81492027,72.63,8.69,MED,YES,2.7083,29.75,32.72,2.718,VTKGN,-11.67,19.54,26.9,699.83,728.01,39.13,33.32,2.4885,0.3412,B
957,11182609,6298298,7045781,?,7371135,-4222.85,6983850,104947.0,150.43,-3403857.0,-7249212.0,-231.0,22.0,-23.01,-75.06799026,9.06,9.57e-05,4.46,3.02,63.01,38.75,37.55,24.8,LOW,NO,-0.1513,-30.71,-37.76,0.2165,VTKGN,-9.85,-50.64,-92.6,-18.5,-39.39,-3.14,-98.35,1.1612,-0.5515,D
254,53513977,5755090,20523090,?,25506120,7777.34,8392173,72682.0,171.18,1492858.0,1311230.0,134.0,10.0,4.06,78.47,-1.69,-5.14e-05,-1.71,9.84,38.35,6.87,84.32,26.47,VHIGH,YES,-3.5895,5.19,14.53,0.1432,VTKGN,-2.28,2.5,2.96,33.84,32.08,31.95,5.55,2.2333,0.0694,B
955,72891505,5008522,15882200,33949335.0,72617540,4118.13,38942170,128535.0,1008.58,-357631.0,113286.0,8.0,11.0,0.86,42.45,0.4,7.55e-06,0.38,1.28,21.79,?,46.58,20.26,VHIGH,NO,-4.3744,-9.15,5.65,0.2212,VTKGN,-1.99,0.14,0.33,-5.11,-12.55,4.98,-1.21,2.235,-0.098,D
264,40621872,15964228,26802558,?,26670926,5727.36,12580205,294830.0,467.91,3813251.0,1055031.0,1197.0,25.0,9.93,58.18,0.71,1.5e-05,0.71,5.66,65.98,24.91,69.03,25.92,HIGH,YES,-0.1394,8.57,14.1,0.9001,VTKGN,8.41,2.43,3.8,86.52,31.64,20.09,5.23,1.1942,0.1598,B
126,247674358,114609730,129631090,121958320.0,171405811,93963.81,125716038,119773.0,178.36,34902630.0,38954844.0,10943.0,28.0,15.85,41.39,3.25,4.43e-05,3.75,5.02,52.34,30.22242718,49.24,13.05,MED,YES,0.1106,11.74,37.94,4.2423,VTKGN,10.33,16.95,43.71,133.74,110.12,33.81,16.77,1.6671,0.1611,C
90,183108681,11063716,116712908,124858370.0,62000468,19603.04,58250311,1713445.0,256.2,1725223.0,-2205279.0,-162.0,13.0,2.05,64.28,2.49,2.65e-05,2.1,4.6,63.74,25.23,68.19,3.0,HIGH,YES,0.4935,4.75,10.71,1.908,VTKGN,-0.26,-1.21,-1.72,24.01,-27.1,34.16,-3.14,1.1868,0.0945,C
91,37365798,270424,28387948,20264394.0,28122528,7648.19,17101405,158303.0,760.07,3823575.0,3566147.0,614.0,14.0,11.29,49.81,1.82,2.99e-05,1.97,1.53,75.97,?,54.23,2.5,LOW,YES,0.388,6.71,20.47,3.1768,VTKGN,10.91,9.54,17.6,122.95,162.96,23.26,18.02,1.0619,0.041,B
400,104904028,54623496,57002554,?,121843141,28846.72,36395414,125007.0,270.16,6582846.0,3834971.0,5560.0,34.0,6.99,62.02,0.09,3.05e-06,0.09,2.85,54.34,7.87,65.31,41.45,LOW,NO,-0.3107,0.8,27.5,3.9519,VTKGN,48.82,3.71,5.74,190.87,153.73,11.85,4.35,1.441,0.0715,B
1168,46483994,1529253,24449478,11537381.0,17418009,-2269.36,34946612,372450.0,305.58,75052.0,-5643616.0,-453.0,7.0,0.66,15.84,10.93,5.45e-05,6.76,7.3,52.6,68.26,24.82,10.83,LOW,NO,-0.5587,-10.24,-4.88,3.2746,VTKGN,-3.15,-10.32,-41.67,1.18,-124.59,19.93,-45.32,1.3655,-0.0575,D
863,55697164,15028323,24458452,?,69658390,17596.84,19647927,156208.0,207.32,4856664.0,6007131.0,1271.0,17.0,11.95,60.06,-1.07,-3.79e-05,-1.11,2.92,43.91,7.29,64.72,11.34,MED,YES,0.0378,13.31,31.59,2.8022,VTKGN,-9.77,11.55,19.37,186.79,308.62,16.07,11.52,1.7718,0.1313,B
835,2087473607,1010665853,1429521040,?,1662717949,545549.2,893956310,5059158.0,374.91,224937660.0,154321495.0,17085.32605,45.0,11.51,60.24,1.38,2.56e-05,1.51,8.45,68.48,23.03,57.18,20.54,MED,YES,-0.0355,15.17,26.13,6.1429,VTKGN,10.55,7.72,13.49,399.87,388.39,28.54,13.14,1.0766,0.1827,A
1291,26851326,6927304,9050435,?,27095544,2960.64,17968982,465986.0,501.77,3064426.0,-1010197.0,-587.0,23.0,12.36,1.06,2.1,3.17e-05,2.06,1.71,33.71,38.06,33.08,40.76,HIGH,NO,0.7206,-0.47,11.03,0.0551,VTKGN,0.59,-3.89,-10.78,35.65,-2.75,39.0,-0.87,1.0338,0.1052,D
497,2377848137,783077906,1913029658,551081369.0,2755861974,164971.08,1826766768,3990677.0,954.58,23377143.0,-196404251.0,419.9825282,51.0,1.1,8.84,4.6,6.08e-05,4.0,1.8,80.45,50.4,23.18,43.85,MED,NO,-0.0528,-2.77,6.94,2.0726,VTKGN,-0.55,-6.68,-30.07,6.2,-52.07,7.04,-7.13,0.6967,-0.2147,C
377,12213674,1293661,2977261,8460508.0,25674465,3013.66,3753166,101210.0,523.97,344687.0,851431.0,149.0,11.0,3.23,54.02,0.7,4.8e-05,0.68,1.0,24.38,21.93,69.27,14.0,VHIGH,NO,-4.614,-8.1,24.67,0.1406,VTKGN,7.18,4.88,10.0,12.05,38.89,14.49,4.33,2.9768,-0.1956,C
1036,44624930,16009896,23078437,?,75902153,13862.49,23717964,108267.0,181.15,2660913.0,812236.0,23.0,26.0,5.82,6.23,2.04,6.54e-05,2.01,3.08,51.72,27.72,46.85,50.87,HIGH,NO,-0.4489,1.81,31.06,0.3141,VTKGN,1.52,1.68,4.01,14.68,4.48,8.42,1.07,1.1526,0.1733,D
605,66351783,42289108,47289721,30995735.0,108508040,13189.83,35356048,163494.0,375.46,2076243.0,665268.0,294.0,30.0,4.83,30.48,0.87,2.66e-05,0.85,2.73,71.27,?,46.71,14.04,VLOW,NO,0.0587,3.84,19.88,2.4004,VTKGN,2.23,1.01,2.23,18.89,10.52,6.5,1.07,1.2399,0.0797,C
1,30987959,5922272,11058029,24157897.0,41777794,5037.71,6830062,136981.0,212.07,2591867.0,496722.0,52.0,12.0,9.02,72.76,-0.18,-1.09e-05,-0.18,2.76,35.68,?,77.96,30.68,MED,YES,1.8834,6.27,16.26,0.2299,VTKGN,0.42,1.6,2.03,51.79,0.86,15.33,0.1,2.2891,0.1075,C
